game_id,competition_id,competition_type,season,round,date,club id,club goals,opposite club id,opposite_club_goals,result,difference_goals
2495716,DK1,domestic_league,2014,17. Matchday,12/7/14,190,3,865,0,win,3
2495717,DK1,domestic_league,2014,17. Matchday,12/8/14,3426,0,2778,0,tie,0
2532448,DK1,domestic_league,2014,18. Matchday,2/20/15,2778,0,5724,3,loss,-3
2495712,DK1,domestic_league,2014,17. Matchday,12/5/14,5724,0,5817,0,tie,0
2532466,DK1,domestic_league,2014,21. Matchday,3/13/15,5724,1,865,2,loss,-1
2532456,DK1,domestic_league,2014,19. Matchday,3/1/15,5724,1,1177,2,loss,-1
2495715,DK1,domestic_league,2014,17. Matchday,12/7/14,206,1,1177,0,win,1
2495709,DK1,domestic_league,2014,16. Matchday,11/30/14,2778,2,206,0,win,2
2495711,DK1,domestic_league,2014,16. Matchday,12/1/14,865,2,20100,1,win,1
2495710,DK1,domestic_league,2014,16. Matchday,11/30/14,1053,0,190,1,loss,-1
2495704,DK1,domestic_league,2014,15. Matchday,11/23/14,865,2,1053,0,win,2
2495703,DK1,domestic_league,2014,15. Matchday,11/23/14,206,1,5817,0,win,1
2495713,DK1,domestic_league,2014,17. Matchday,12/6/14,173,1,1053,1,tie,0
2495702,DK1,domestic_league,2014,15. Matchday,11/23/14,173,1,2778,0,win,1
2495701,DK1,domestic_league,2014,15. Matchday,11/22/14,3426,4,5818,2,win,2
2532457,DK1,domestic_league,2014,19. Matchday,3/1/15,173,1,190,0,win,1
2495706,DK1,domestic_league,2014,16. Matchday,11/28/14,5817,0,3426,0,tie,0
2495699,DK1,domestic_league,2014,14. Matchday,11/9/14,2778,0,190,0,tie,0
2495697,DK1,domestic_league,2014,14. Matchday,11/9/14,1053,2,20100,0,win,2
2495700,DK1,domestic_league,2014,15. Matchday,11/21/14,20100,0,5724,1,loss,-1
2495696,DK1,domestic_league,2014,14. Matchday,11/9/14,5817,2,173,1,win,1
2495695,DK1,domestic_league,2014,14. Matchday,11/8/14,5724,3,3426,2,win,1
2495698,DK1,domestic_league,2014,14. Matchday,11/9/14,5818,3,206,0,win,3
2495693,DK1,domestic_league,2014,13. Matchday,11/3/14,1053,2,1177,0,win,2
2495692,DK1,domestic_league,2014,13. Matchday,11/2/14,206,1,5724,0,win,1
2495690,DK1,domestic_league,2014,13. Matchday,11/2/14,173,3,5818,1,win,2
2495689,DK1,domestic_league,2014,13. Matchday,11/1/14,20100,1,3426,4,loss,-3
2495691,DK1,domestic_league,2014,13. Matchday,11/2/14,190,1,5817,1,tie,0
2495708,DK1,domestic_league,2014,16. Matchday,11/30/14,5818,0,5724,1,loss,-1
2495686,DK1,domestic_league,2014,12. Matchday,10/26/14,3426,0,206,0,tie,0
2495685,DK1,domestic_league,2014,12. Matchday,10/26/14,5818,0,190,2,loss,-2
2495687,DK1,domestic_league,2014,12. Matchday,10/27/14,2778,0,1053,1,loss,-1
2495684,DK1,domestic_league,2014,12. Matchday,10/26/14,5724,3,173,0,win,3
2495705,DK1,domestic_league,2014,15. Matchday,11/22/14,190,1,1177,0,win,1
