club_id,game_id,own_goals,own_position,own_manager_name,opponent_id,opponent_goals,opponent_position,opponent_manager_name,hosting,is_win
3349,2252856,2,-1,Henrique Nunes,7378,1,-1,Lázaro Oliveira,Home,1
3345,2258404,0,-1,Horácio Gonçalves,3349,0,-1,Henrique Nunes,Home,0
3349,2247456,2,-1,Henrique Nunes,3327,1,-1,Miguel Leal,Home,1
5227,2258402,1,-1,Paulo Pedro,10140,0,-1,Filipe Moreira,Home,1
8024,2258401,0,-1,Vítor Oliveira,4814,0,-1,Filó,Home,0
79,2222538,0,16,Bruno Labbadia,82,1,7,Felix Magath,Home,0
4814,2247455,3,-1,Filó,5227,1,-1,Paulo Pedro,Home,1
7378,2247457,1,-1,Lázaro Oliveira,3345,1,-1,Horácio Gonçalves,Home,0
167,2231401,1,18,Markus Weinzierl,15,3,8,Sascha Lewandowski,Home,0
976,2258399,1,-1,Predrag Jokanovic,68608,0,-1,Mitchell van der Gaag,Home,1
65,2231404,0,16,Mike Büskens,38,2,5,Norbert Meier,Home,0
976,2252852,2,-1,Predrag Jokanovic,8827,1,-1,João de Deus,Home,1
